Tên job,Tên Công ty,Mức lương,Thương lượng lương,Mô tả công việc,Cấp bậc,Yêu cầu công việc,Quyền lợi,Quy trình phỏng vấn,Công nghệ sử dụng,Cách thức ứng tuyển
Mid HTS (Home Trading System) Developer - Windows Desktop Application,DaouKiwoom Innovation,1*** - 2*** USD,0,"Develop HTS UI and business logic by using JavaScript under the Kiwoom platform Work directly with remote team to clarify tasks and requirements Develop new features based on the user requirements. (analyzing requirements and system design) Fix the reported problems/bugs of the system during the integration test, the user acceptance test, and the test for maintenance (need to communicate with backend developers and testers) Managing time and resources based on the WBS Compile a weekly-report about the progress of tasks Perform self-learning about a domain knowledge, write a report and conduct a seminar about it Write high-quality, clean, elegant, maintainable, and testable code Maintaining technical documents up-to-date Mentor junior developers and conduct technical training when needed You will have the chance to be involved with each stage of different projects, to various aspects of software engineering and fostering your career growth.","Middle, Senior","Skill Required Minimum 2-3 years experience on developing with Javascript. Strong understanding of object-oriented programming and design pattern (MVC, MVVM). Ability to write clean, easy to understand code. Familiarity with version control systems, such as SVN. Familiarity with issues tracking tools, such as Redmine. Strong problem-solving and analytical skills. Bachelor's Degree in Computer Science/Information Technology or relevant fields. Able to communicate in English, written and spoken (processed by English interview). Strong communication skills and teamwork, international experience is preferred. Experience operating in an Agile environment, with a deep understanding of agile development principles. Give Reference Over 1 year of experience in developing securities solutions, including a PC-based trading platform – HTS(Home Trading System). Experience on developing with MFC C++. Experience on working with oversea team. Mission Supporting IT Development and Maintenance of the Stock Trading Platform developed based on the Kiwoom Framework for Kiwoom Indonesia, Finansia(in Thailand), and so on SPECIAL OFFER Providing training and education experience in Korea with Korean Finance/IT expert Providing opportunitites to work and support in IT/Finance fields overseas","Competitive salary, salary review once a year 13th month salary and Annual Performance Bonus MVP and Shining star awards at the end of year Global and professional working environment Full SHUI as Vietnamese Law Premium Private Medical Insurance PVI and annual health check 15-day annual leave, Christmas leave and 30-mins menstrual leave for women Company trip, YEP and monthly gathering time Gifts on special occasion and fully stocked snack corner Sponsored training courses and book purchase quarterly Be well-equipped with new working equipment","Round 1 : Interview with Tech Lead, CTO Round 2 : Salary Negotiation","['Agile', 'C++', 'JavaScript', 'MVC', 'MVVM']",apply in https://topdev.vn/detail-jobs/127
Business Analyst - Chuyên Gia Phân Tích Nghiệp Vụ Hệ Thống CLIMS,Ngân hàng TMCP An Bình (ABBANK),,1,"Trao đổi với bộ phận phát triển để thiết kế giải pháp cho các yêu cầu này. Xây dựng đặc tả chi tiết về yêu cầu theo ngôn ngữ phù hợp với lập trình viên; đảm bảo yêu cầu phát triển là rõ ràng và khả thi về mặt công nghệ. Tham gia phối hợp với đơn vị nghiệp vụ kiểm tra kết quả phát triển, đảm bảo ứng dụng đáp ứng yêu cầu đã thống nhất với đơn vị nghiệp vụ. Đưa ra khuyến nghị về cải tiến và sử dụng công nghệ mới để nâng cao hiệu suất và khả năng của hệ thống. Phối hợp với nhân sự level 1 và 2 để hỗ trợ người dùng trong các hoạt động hàng ngày, đảm bảo các vấn đề của người dùng được xử lý nhanh nhất có thể, đáp ứng nhu cầu công việc của họ.","Middle, Senior","Kinh nghiệm: Ít nhất 05 năm kinh nghiệm ở vị trí BA hệ thống CLIMS. Có kinh nghiệp về nghiệp vụ tiền vay. Kinh nghiệm xây dựng các kịch bản kiểm thử, kế hoạch kiểm thử hoàn chỉnh cho một dự án phần mềm. Kinh nghiệm và am hiểu về quy trình phát triển phần mềm. Kỹ năng khác: Đảm bảo tuân thủ các tiêu chuẩn phát triển ứng dụng và quy trình chất lượng. Kỹ năng phân tích và xử lý các vấn đề kỹ thuật phức tạp, cung cấp các giải pháp khả thi và kịp thời. Kỹ năng giao tiếp và làm việc nhóm hiệu quả khi làm việc với nhiều nhóm chức năng khác nhau. Kỹ năng giao tiếp tốt và khả năng trình bày ý tưởng một cách rõ ràng và dễ hiểu. Chú trọng triển khai theo Agile với sự sẵn sàng học hỏi và phát triển từ kinh nghiệm.","Mức lương cạnh tranh dựa trên Kiến thức, kinh nghiệm của mỗi cá nhân (Trao đổi khi trúng tuyển) Được hưởng chế độ Bảo hiểm theo luật lao động và chương trình ABBANK CARE (chế độ đãi ngộ, phúc lợi bổ sung dành cho toàn thể cán bộ nhân viên ABBANK). Được vay ưu đãi (lãi suất hấp dẫn) dành cho cán bộ nhân viên ABBANK. Môi trường năng động và sáng tạo, phát huy tối đa năng lực bản thân, điều kiện làm việc tốt, đầy đủ phương tiện, thiết bị, có cơ hội tham gia đào tạo, thăng tiến, phát triển sự nghiệp. Tham gia các hoạt động văn hóa ngoại khóa (Team building, hội thao, văn nghệ...); Cung cấp thiết bị làm việc, máy tính xách tay Du lịch Thưởng Đào tạo Chế độ nghỉ phép Bảo hiểm, phụ cấp Chăm sóc sức khỏe Tăng lương định kỳ Làm việc: T2 -T6",non-existent,"['Tester', 'Business Analyst', 'Analyst']",apply in https://topdev.vn/detail-jobs/128
Business Analyst - Chuyên Gia Phân Tích Nghiệp Vụ Hệ Thống CoreBanking T24,Ngân hàng TMCP An Bình (ABBANK),,1,"Trao đổi với bộ phận phát triển để thiết kế giải pháp cho các yêu cầu này. Xây dựng đặc tả chi tiết về yêu cầu theo ngôn ngữ phù hợp với lập trình viên; đảm bảo yêu cầu phát triển là rõ ràng và khả thi về mặt công nghệ. Tham gia phối hợp với đơn vị nghiệp vụ kiểm tra kết quả phát triển, đảm bảo ứng dụng đáp ứng yêu cầu đã thống nhất với đơn vị nghiệp vụ. Đưa ra khuyến nghị về cải tiến và sử dụng công nghệ mới để nâng cao hiệu suất và khả năng của hệ thống. Phối hợp với nhân sự level 1 và 2 để hỗ trợ người dùng trong các hoạt động hàng ngày, đảm bảo các vấn đề của người dùng được xử lý nhanh nhất có thể, đáp ứng nhu cầu công việc của họ.","Middle, Senior","Kinh nghiệm: Ít nhất 05 năm kinh nghiệm ở vị trí BA CoreBanking T24. Có kinh nghiệp về nghiệp vụ Ngân hàng (Tài khoản, Thanh toán, Tiền gửi, Tiền vay, Nguồn vốn, Thanh toán quốc tế, ...). Kinh nghiệm xây dựng các kịch bản kiểm thử, kế hoạch kiểm thử hoàn chỉnh cho một dự án phần mềm. Kinh nghiệm và am hiểu về quy trình phát triển phần mềm. Kỹ năng khác: Đảm bảo tuân thủ các tiêu chuẩn phát triển ứng dụng và quy trình chất lượng. Kỹ năng phân tích và xử lý các vấn đề kỹ thuật phức tạp, cung cấp các giải pháp khả thi và kịp thời. Kỹ năng giao tiếp và làm việc nhóm hiệu quả khi làm việc với nhiều nhóm chức năng khác nhau. Kỹ năng giao tiếp tốt và khả năng trình bày ý tưởng một cách rõ ràng và dễ hiểu. Chú trọng triển khai theo Agile với sự sẵn sàng học hỏi và phát triển từ kinh nghiệm","Mức lương cạnh tranh dựa trên Kiến thức, kinh nghiệm của mỗi cá nhân (Trao đổi khi trúng tuyển) Được hưởng chế độ Bảo hiểm theo luật lao động và chương trình ABBANK CARE (chế độ đãi ngộ, phúc lợi bổ sung dành cho toàn thể cán bộ nhân viên ABBANK). Được vay ưu đãi (lãi suất hấp dẫn) dành cho cán bộ nhân viên ABBANK. Môi trường năng động và sáng tạo, phát huy tối đa năng lực bản thân, điều kiện làm việc tốt, đầy đủ phương tiện, thiết bị, có cơ hội tham gia đào tạo, thăng tiến, phát triển sự nghiệp. Tham gia các hoạt động văn hóa ngoại khóa (Team building, hội thao, văn nghệ...); Cung cấp thiết bị làm việc, máy tính xách tay Du lịch Thưởng Đào tạo Chế độ nghỉ phép Bảo hiểm, phụ cấp Chăm sóc sức khỏe Tăng lương định kỳ Làm việc: T2 -T6",non-existent,"['Product', 'Business Analyst', 'Core Banking']",apply in https://topdev.vn/detail-jobs/129
Architect: System Integration Solution,Ngân hàng TMCP An Bình (ABBANK),,1,"Xây dựng các tài liệu kỹ thuật tích hợp, tài liệu thế kế hệ thống tích hợp. Thực hiện phát triển API tích hợp giữa các hệ thống trong và ngoài ngân hàng. Phát triển các module theo kiến trúc Microservice có tính tái sử dụng cao. Thực hiện kiểm thử kỹ thuật, kiểm thử hệ thống và kiểm thử hiệu năng. Xây dựng các tài liệu triển khai, tài liệu vận hành hỗ trợ tích hợp. Phối hợp với các đơn vị trong và ngoài ngân hàng trong quá trình tích hợp giữa các hệ thống. Phối hợp hỗ trợ, xử lý lỗi trong quá trình vận hành API tích hợp.","Middle, Senior","Tối thiểu 05 làm các công việc chuyên môn liên quan tới các giải pháp tích hợp hệ thống. Có kinh nghiệm sử dụng các công nghệ IBM như IBM App Connect (ESB), IBM API Connect, IBM MQ, IBM DataPower Gateway. Có kinh nghiệm làm việc với các chuẩn giao thức kết nối SOCKET, HTTP, JMS, FTP; các công nghệ tích hợp bao gồm REST API, SOAP, GraphQL, JSON, XML. Có kinh nghiệm về các chuẩn bản tin tài chính như ISO8583, ISO20022, SWIFT. Có kinh nghiệm thiết kế kiến trúc tích hợp hệ thống, thiết kế API. Có kiến thức về các công cụ hỗ trợ CI/CD, các nền tảng container Docker/Kubernetes (K8S) hoặc OpenShift. Sử dụng thành thạo các công cụ test như SoapUI, Postman, Jmetter. Có chuyên môn về các loại cơ sở dữ liệu SQL/NoSQL (Oracle, MongoDB). Có kinh nghiệm viết tài liệu kỹ thuật. Có kinh nghiệm hỗ trợ và đào tạo. Kỹ năng giao tiếp và làm việc nhóm tốt. Khả năng làm việc độc lập và giải quyết vấn đề tốt. Khả năng học hỏi nhanh và thích nghi với môi trường làm việc năng động.","Mức lương cạnh tranh dựa trên Kiến thức, kinh nghiệm của mỗi cá nhân (Trao đổi khi trúng tuyển) Được hưởng chế độ Bảo hiểm theo luật lao động và chương trình ABBANK CARE (chế độ đãi ngộ, phúc lợi bổ sung dành cho toàn thể cán bộ nhân viên ABBANK). Được vay ưu đãi (lãi suất hấp dẫn) dành cho cán bộ nhân viên ABBANK. Môi trường năng động và sáng tạo, phát huy tối đa năng lực bản thân, điều kiện làm việc tốt, đầy đủ phương tiện, thiết bị, có cơ hội tham gia đào tạo, thăng tiến, phát triển sự nghiệp. Tham gia các hoạt động văn hóa ngoại khóa (Team building, hội thao, văn nghệ...); Cung cấp thiết bị làm việc, máy tính xách tay Du lịch Thưởng Đào tạo Chế độ nghỉ phép Bảo hiểm, phụ cấp Chăm sóc sức khỏe Tăng lương định kỳ Làm việc: T2 -T6",non-existent,"['SQL', 'CI/CD', 'Solution Architect', 'ESB', 'System Architect']",apply in https://topdev.vn/detail-jobs/130
Application/Solution Architect - Kiến Trúc Ứng Dụng KHCN/KHDN,Ngân hàng TMCP An Bình (ABBANK),,1,"Lên kế hoạch và thiết kế kiến trúc hệ thống ứng dụng, bao gồm sự lựa chọn các công nghệ phù hợp, mô hình hóa hệ thống, và xác định giao diện giữa các thành phần. Đảm bảo tính mở rộng, mô-đun hóa và khả năng mở rộng của hệ thống. Điều phối với các thành viên khác trong đội phát triển để đảm bảo việc triển khai kiến trúc được thực hiện đúng hẹn. Theo dõi và đánh giá hiệu suất của hệ thống, đưa ra các cải tiến và điều chỉnh cần thiết. Đưa ra khuyến nghị về cải tiến và sử dụng công nghệ mới để nâng cao hiệu suất và khả năng của hệ thống.","Middle, Senior","Kinh nghiệm: Ít nhất 05 năm kinh nghiệm ở vị trí Kiến trúc ứng dụng Có kinh nghiệm làm việc trong vai trò Kiến trúc sư ứng dụng hoặc các vai trò tương tự. Có kinh nghiệp về nghiệp vụ Ngân hàng (Tài khoản, Thanh toán, Tiền gửi, Tiền vay, Nguồn vốn, Thanh toán quốc tế, …) Hiểu biết vững vàng về các nguyên tắc thiết kế ứng dụng, kiến trúc ứng dụng và mô hình hóa hệ thống. Kỹ năng tốt trong việc lựa chọn công nghệ phù hợp và xác định các tiêu chí đánh giá hiệu suất. Sự thành thạo với các ngôn ngữ và công cụ phát triển ứng dụng phổ biến. Kỹ năng khác: Đảm bảo tuân thủ các tiêu chuẩn phát triển ứng dụng và quy trình chất lượng. Kỹ năng phân tích và xử lý các vấn đề kỹ thuật phức tạp, cung cấp các giải pháp khả thi và kịp thời. Kỹ năng giao tiếp và làm việc nhóm hiệu quả khi làm việc với nhiều nhóm chức năng khác nhau. Kỹ năng giao tiếp tốt và khả năng trình bày ý tưởng một cách rõ ràng và dễ hiểu. Chú trọng triển khai theo Agile với sự sẵn sàng học hỏi và phát triển từ kinh nghiệm.","Mức lương cạnh tranh dựa trên Kiến thức, kinh nghiệm của mỗi cá nhân (Trao đổi khi trúng tuyển) Được hưởng chế độ Bảo hiểm theo luật lao động và chương trình ABBANK CARE (chế độ đãi ngộ, phúc lợi bổ sung dành cho toàn thể cán bộ nhân viên ABBANK). Được vay ưu đãi (lãi suất hấp dẫn) dành cho cán bộ nhân viên ABBANK. Môi trường năng động và sáng tạo, phát huy tối đa năng lực bản thân, điều kiện làm việc tốt, đầy đủ phương tiện, thiết bị, có cơ hội tham gia đào tạo, thăng tiến, phát triển sự nghiệp. Tham gia các hoạt động văn hóa ngoại khóa (Team building, hội thao, văn nghệ...); Cung cấp thiết bị làm việc, máy tính xách tay Du lịch Thưởng Đào tạo Chế độ nghỉ phép Bảo hiểm, phụ cấp Chăm sóc sức khỏe Tăng lương định kỳ Làm việc: T2 -T6",non-existent,"['Fintech', 'Core Banking', 'Solution Architect']",apply in https://topdev.vn/detail-jobs/131
Software Engineer (Android),V-KEY,,1,"Develop, maintain, and launch new mobile products and extend platform functionality. Work collaboratively with product management, governance and your scrum team to design and deliver new and innovative customer solutions. Bring to bear your experience leveraging best in class tools and technologies (CI/CD, cloud computing, web service development) to refine and improve software development practices. Engage in innovative problem-solving activities, requiring conceptual thinking creating 'out of the box' solutions with prototypes and pilots. Utilize TDD practices to ensure delivery of high-quality code with low rates of production defects. Instrument services and solutions to ensure deployed software is scalable and reliable.","Junior, Middle","Must have Diploma/BS degree in Computer Science, Engineering or a related subject. 24+ months experience building software for Android. Experience with Smali Code Strong CS fundamentals in object-oriented design, data structures, algorithms, problem solving, and complexity analysis. Experience with distributed systems, coaching and persistence solutions. Experience building localized, multi-tenant solutions. Excellent at interpersonal communication with strong verbal / written English skills. Nice to have Having knowledge or experience in iOS Development is a Plus Ability to troubleshoot and identify the root cause of issues under time pressure. Ability to effectively articulate technical challenges and solutions. Having knowledges in Mobile Security is a Plus. Demonstrated skill and passion for operational excellence. Customer–focused mindset, taking pride in creating an informative data-driven journey.","Dynamic, young and friendly environment with enjoyable staffs activities Macbook Pro laptop for working Base salary package Annual leaves with 14 days at the beginning and insurance types following by the Labour Code Flexi benefits and leaves as per organization’s policy (birthday leave, personal leave, medical leave, and monthly work from home) Performance based reward and recognition Healthcare package, company trip, and quarterly team building Gifts on Public Holidays Working time: 8h30-17h30 Monday to Friday",Round 1 : Bài test online Codility Round 2 : Phỏng vấn Technical với Line Manager Round 3 : Phỏng vấn với Director of Engineering,"['Android', 'CI/CD', 'Software Engineer']",apply in https://topdev.vn/detail-jobs/132
[Remote] Motion Designer,Sisu Network,,1,Tạo video animation vui nhộn để giải thích các khái niệm toán hoặc khoa học cơ bản cho học sinh lớp 3-8. Thêm âm thanh và hình ảnh ngộ nghĩnh để tăng tính hấp dẫn của video.,Fresher,"Tạo ảnh và 2D animation từ ý tưởng đến sản phẩm cuối cùng. Có đầu óc sáng tạo, biết kết hợp các ý tưởng để tạo ra video hấp dẫn. Hiểu tâm lí người xem. Sử dụng thành thạo một trong các phần mềm đồ hoạ phổ biến để vẽ. Ứng viên khi apply cần có đường dẫn đến video hoặc art project đã từng làm.","Làm việc từ xa, thời gian làm việc linh hoạt. Không phải đến office. Làm việc và học hỏi từ những người có kinh nghiệm làm việc lâu năm ở Mỹ và Việt Nam. Môi trường làm việc trẻ trung, năng động, sáng tạo.",non-existent,['2D Animator'],apply in https://topdev.vn/detail-jobs/133
Backend Developer,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,2******* - 5******* VND,0,"Full-stack web development operation Designing, building, or maintaining AI-based Cloud platform’s applications Design, plan and develop large-scale data analytics web applications Identify visual analytics technology and industry trend and develop web applications Leverage software development methodology to make sure code is well-designed, testable and efficient Integrate various backend services and databases Manage, scale and resize a website and do troubleshooting Cooperate with web designers to align with the design intent","Middle, Senior","B.S. or M.S. in computer science, computer engineering, or relevant fields Hands on experience with Object Oriented Programming language for backend (Java/Python/C#) Solid experience working with RESTful API Experience working with a well-known database (such as MySQL, PostgreSQL, NoSQL/ MongoDB, Redis) Familiar with open source solutions Familiar with lean/agile development process Nice to have: Hadoop, Spark, Spring Boot are big advantages Experience with Cloud platform: AWS, Azure Understanding of deep learning frameworks (TensorFlow, Keras, PyTorch, …) Good knowledge at UI/UX","Salary negotiable 100% salary during 2-month probation Full-salary insurance starting right from probation period 3 times bonus per year Health check once per year Health care insurance package Attractive training budget for each employee per year for personal training & Premium Udemy Online Learning Account Oversea training opportunities Numerous internal activities: team bonding, team training,... Gifts for each employee on 30/4,1/5; 2/9....(in cash) Bonus for employee having Korean certificates or Software Test certificate 5 working days per week with flexible check-in",Round 1 : CV phù hợp sẽ được liên hệ trong 15 ngày.,"['Java', 'JavaScript', 'Python']",apply in https://topdev.vn/detail-jobs/134
"CV Quản trị cơ sở dữ liệu (Database Admin, Oracle, SQL)",NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KIÊN LONG,1*** - 2*** USD,0,"Theo dõi hoạt động hệ thống Cơ sở dữ liệu, tối ưu hóa hoạt động hệ thống; Xử lý giao dịch trong quá trình vận hành hằng ngày; Xây dựng, theo dõi hệ thống sao lưu dự phòng; Xây dựng các quy trình, qui định liên quan chức năng bộ phận quản trị Cơ sở dữ liệu; Hỗ trơ xử lý trong quá trình EOD lỗi; Xây dựng thiết kế hệ thống dự phòng khôi phục thảm họa Oracle Data Guard, SQL Server Database Mirroring, MySQL; Tham mưu xây dựng các quy trình, qui định liên quan chức năng bộ phận quản trị Cơ sở dữ liệu; Nghiên cứu, thử nghiệm triển khai các công cụ, giải pháp, công nghệ mới về CSDL; Công việc khác theo chỉ đạo của cấp quản lý.",Middle,"Kinh nghiệm: Có ít nhất 02 năm kinh nghiệm quản trị độc lập hệ thống Cơ sở dữ liệu; Ưu tiên các ứng viên có kinh nghiệm tại các tổ chức ngân hàng, tài chính. Kiến Thức: Trình độ: tốt nghiệp Cao đẳng trở lên, chuyên ngành Công nghệ thông tin; Ngoại ngữ: Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành; Hiểu biết các văn bản pháp luật, quy định của Nhà nước có liên quan đến lĩnh vực chuyên môn; Hiểu biết về hệ điều hành và Hệ quản trị cơ sở dữ liệu.","Được đào tạo nghiệp vụ chuyên môn và các kỹ năng chuyên nghiệp. Được tham dự các lớp đào tạo nhà quản lý chuyên nghiệp để phát triển nghề nghiệp. Chế độ phép năm, lễ, tết, bảo hiểm, chăm sóc sức khỏe theo quy định pháp luật. Được hỗ trợ chi phí xăng xe, tiền điện thoại, chế độ công tác,… Được thưởng hiệu quả kinh doanh, năng suất lao động, các khoản chi bổ sung theo kết quả hoạt động của đơn vị và kết quả công việc của cá nhân. Lương tháng 13, các khoản thưởng năm, lễ, tết theo tình hình thực tế của Ngân hàng. Được thưởng thêm Quỹ thưởng “Đồng hành và phát triển của Kienlongbank” theo kết quả làm việc trong năm.",non-existent,"['Oracle', 'SQL', 'Database']",apply in https://topdev.vn/detail-jobs/135
Fresher Java Developer (Chinese),Cathay Life,,1,"Analyze system requirements from business departments. Tìm hiểu, phân tích yêu cầu hệ thống từ các phòng ban nghiệp vụ. Analyze, design necessary services based on business requirements to ensure compliance with the system development procedure. with the insurance business regulation, and the company's compliance. Phân tích, thiết kế các dịch vụ cần thiết dựa trên các yêu cầu nghiệp vụ đảm bảo tuân thủ quy định của quy trình phát triển ứng dụng. quy định của nghiệp vụ bảo hiểm, và tuân thủ quy định của công ty. Analyze data, design and develop reports to meet business requirements. Phân tích dữ liệu, thiết kế và phát triển các báo cáo đáp ứng yêu cầu nghiệp vụ. Maintain and develop the functions of the application system according to the assigned modules. Bảo trì, phát triển các chức năng của hệ thống ứng dụng theo yêu cầu nghiệp vụ được giao. Administrate, operate the company's applications in accordance with the company's SOP. Quản trị, vận hành các ứng dụng của công ty theo đúng quy trình và tiêu chuẩn của công ty",Fresher,"Graduated College / Bachelor degree major IT Tốt nghiệp Cao Đẳng/ Đại học chuyên ngành liên quan Fluent in Mandarin Thông thạo tiếng Trung Knowledge about Java, JavaScript, Java Swing. Hiểu biết về Java, JavaScript, Java Swing.",BHXH & Bảo hiểm khác/Social Insurance & Other Insurances Du lịch/ Travel Thưởng/ Bonus Huấn luyện đào tạo/Trainning Chăm sóc sức khỏe/ Health care Chính sách review lương/Annual Salary Review Phép năm/Annual Leave Từ thứ hai đến thứ sáu: 8:30 – 17:30/   From Monday to Friday:  08:30am – 05:30pm,non-existent,"['Java', 'JavaScript', 'Java Swing']",apply in https://topdev.vn/detail-jobs/136
.NET Developer (C#),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KIÊN LONG,2******* - 2******* VND,0,"Lập kế hoạch. Triển khai thực hiện, quản lý tích hợp hệ thống và phân tích yêu cầu nghiệp vụ. Triển khai dự án phần mềm do đối tác cung cấp. Nghiên cứu và áp dụng công nghệ mới. Hỗ trợ kỹ thuật, đề xuất các giải pháp. Công việc khác.",Middle,"1. Kinh nghiệm: Kinh nghiệm lập trình ứng dụng desktop bằng C# và .NET ít nhất 2 năm. Lập trình web, winform trên nền tảng .NET. 2. Kiến thức: Trình độ: Tốt nghiệp Đại học trở lên Chuyên ngành: Công nghệ Thông tin, Khoa học Máy tính hoặc tương đương. Kiến thức chuyên môn: Kiến thức chuyên sâu về C#, đặc biệt các khái niệm nâng cao như LINQ, đa luồng, async/await, reflection. Hiểu rõ về các nguyên lý thiết kế phần mềm như SOLID, Design Patterns, Inversion of Control. Kinh nghiệm làm việc với Dapper hoặc các ORM khác. Kinh nghiệm với .NET Framework/.NET Core, ASP.NET MVC/Web API, Entity Framework, WPF, WCF, Devexpress, RestSharp, Windows Services. Kinh nghiệm làm việc với Oracle hoặc SQL Server và kỹ năng phân tích, thiết kế, xây dựng, truy vấn SQL Kiến trúc ứng dụng phân tán, microservices và container. Kinh nghiệm với công cụ quản lý mã nguồn như Git, Team Foundation Server Tối ưu hóa hiệu suất và khả năng mở rộng của các ứng dụng. Kinh nghiệm xử lý dữ liệu lớn với Hadoop, Spark Ưu tiên có kinh nghiệm với các nền tảng đám mây như Azure, AWs Kiến thức về kỹ thuật an toàn bảo mật ứng dụng. Ngoại ngữ: Có khả năng đọc hiểu tài liệu tiếng Anh chuyên ngành. Nghiệp vụ khác: Hiểu biết các văn bản pháp luật, quy định của Nhà nước có liên quan đến lĩnh vực chuyên môn. Ưu tiên các ứng viên có kinh nghiệm tại các tổ chức ngân hàng, tài chính.","Được đào tạo nghiệp vụ chuyên môn và các kỹ năng chuyên nghiệp. Được tham dự các lớp đào tạo nhà quản lý chuyên nghiệp để phát triển nghề nghiệp. Chế độ phép năm, lễ, tết, bảo hiểm, chăm sóc sức khỏe theo quy định pháp luật. Được hỗ trợ chi phí xăng xe, tiền điện thoại, chế độ công tác,… Được thưởng thu hồi nợ, hiệu quả kinh doanh, năng suất lao động, các khoản chi bổ sung theo kết quả hoạt động của đơn vị và kết quả công việc của cá nhân. Lương tháng 13, các khoản thưởng năm, lễ, tết theo tình hình thực tế của Ngân hàng. Được thưởng thêm Quỹ thưởng “Đồng hành và phát triển của Kienlongbank” theo kết quả làm việc trong năm.",non-existent,"['C#', '.NET', '.NET Core']",apply in https://topdev.vn/detail-jobs/137
UI/UX Designer,Eduvator,Lên tới 3******* VND,0,"Thiết kế giao diện web và ứng dụng di động Android, iOS theo yêu cầu Thiết kế assets cho những sản phẩm hiện tại và đảm bảo nhất quán về Art-style Lưu trữ assets, resource dự án có hệ thống, tổ chức. Phân tích Pattern, tìm hiểu các tài liệu, đưa ra Art-style phù hợp cho sản phẩm Phác thảo ý tưởng, thu thập ý kiến đóng góp từ các thành viên trong và ngoài dự án Xây dựng và phát triển các bộ guidelines và design system phù hợp cho từng sản phẩm Hoàn thành, đảm bảo chất lượng công việc theo yêu cầu dự án và được sự giám sát bởi Product Manager",Fresher,"Fresher hoặc có kinh nghiệm về UI Design Am hiểu sâu về các nguyên tắc sử dụng typography, màu sắc bố cục...cho web app Có background về Game và BlockChain/Coin Thành thạo phần mềm Figma/adobe XD, photoshop, illustrator Có sản phẩm demo Tư duy mỹ thuật tốt, thích khám phá nghiên cứu những kỹ thuật mới Có khả năng sáng tạo, nắm bắt ý tưởng tốt, khả năng phân tích các mẫu thiết kế thành công và rút ra được kinh nghiệm Tinh thần và ý thức kỷ luật cao, khả năng sắp xếp bố trí công việc hợp lí Đa nhiệm (Multitasking) và Open-Minded","Trợ cấp ăn trưa, ăn vặt Môi trường làm việc năng động, sáng tạo, chuyên nghiệp. Trang thiết bị Macbook Pro M1, M2, Mac Studio, màn hình 4K… Các chế độ bảo hiểm, nghỉ phép, khám sức khỏe, thưởng lễ tết,… Tham gia các hoạt động du lịch, team bonding OT paid Thời gian làm việc: Thứ 2 - Thứ 6 (9h - 17h) Địa điểm làm việc: 308 Trần Phú, Phường 8, Quận 5, TP HCM",Round 1 : Sơ vấn qua điện thoại Round 2 : Test Round 3 : Phỏng vấn online,"['UX/UI Design', 'UX Design']",apply in https://topdev.vn/detail-jobs/138
Power BI and Report Developer,SPS Vietnam Company Limited,,1,"Develop, maintain and manage reporting, dashboards and other BI solutions using Power BI Understand and translate business needs and requirements into robust and scalable technical solutions Collaborate with the controlling team & other business leads, to understand and translate data needs into technical solutions Design and develop the appropriate data models meeting the business requirements and optimizing scalability and performance Contribute with the architects and engineers into shaping the Business Intelligence landscape and its capabilities towards a self-service BI Provide training and assistance to internal business customers on the professional use and adoption of Power BI.","Middle, Senior","Proven experience as a Power BI Developer or Data Analyst Proficiency in developing on Power BI ecosystem Strong programming skills in SQL and good understanding of different modelling techniques (e.g. Data Vault, dimensional) Strong analytical and conceptional skills for translating data into informative visuals and reports Notes: By applying for the job at SPS Vietnam, it is considered that Candidates agree to provide personal data for SPS Vietnam to process in accordance with the Terms and Conditions of personal data processing of candidates which are in line with Decree 13/2023/ND-CP on personal data protection.","Tet Bonus & Performance bonus. Meal allowance, free parking. Accidental and health-care insurance, annual heath check up, flu vaccination. We provide opportunities to learn and grow through different types of training, Talent Development, Succession planning as well as promotions or transfers. Company trip. Happy Hour. Team building. Sport activities: Football, Badminton. Year-end party. Mid-autumn festival. Annual sports tournament. 5 working days per week (off Saturday & Sunday). Extra info: In case of emergency (COVID-19), our company will flexible support candidates for online interview also WFH",Round 1 : Phone interview (Vietnamese). Round 2 : Physical interview with Department Leads.,"['SQL', 'Data Analyst', 'Power BI Specialist']",apply in https://topdev.vn/detail-jobs/139
