Công ty,Hình ảnh logo,Giới thiệu công ty,Quy mô công ty,Quốc Gia,Website công ty,Tagline,Lĩnh vực công ty,Địa chỉ công ty
UPP Global Technology,https://assets.topdev.vn/images/2023/04/11/TopDev-UPP-Logo-1681178916.png,"UPP Global Technology is a Data Analytics and IT solutions company providing such services as Advanced Data Analytics, Blockchain Development, Mobile App and Software Development and Maintenance as well as Salesforce Consultant and Engineering. We believe that with many years of experience in the field of outsourcing and passion for technology, UPP team could help customers optimize their business and operation.",25-99,Vietnam,https://www.upp-technology.com/,Look up for Solutions? Look for UPP!,Software,"Quận Cầu Giấy, Hà Nội"
CÔNG TY TNHH CLEVER CREATIONS TECH,https://assets.topdev.vn/images/2024/05/28/TopDev-98e3a450c9503374fcb5131068e92677-1716885706.jpg,"Năm 2021, Công ty TNHH Clever Creations Tech chính thức được thành lập tại Việt Nam. Chúng tôi cung cấp kỹ thuật chuyên nghiệp để hỗ trợ khách hàng tạo ra những sản phẩm tinh tế nhất, chúng tôi có đội ngũ kỹ thuật hoàn thiện, giao tiếp nhiệt tình, xuyên biên giới, luôn làm hài lòng khách hàng đến từ các quốc gia trên thế giới, giữ tinh thần hợp tác bền vững, cung cấp các giải pháp kết hợp khoa học kỹ thuật, dựa trên công nghệ tuyệt vời và năng lực của nhóm để tối đa hóa lợi ích từ khoản đầu tư của bạn. Chúng tôi mong được gặp bạn, trong thế hệ xanh này, hãy cùng chúng tôi tạo dựng và mở rộng tương lai có giá trị nhất.",10-24,Vietnam,https://cleverctech.com/,Tương lai triển vọng vươn ra thế giới,Software,"Quận 10, Hồ Chí Minh"
DTS Software Viet Nam,https://assets.topdev.vn/images/2020/02/21/1559822688581-Untitled.jpg,"Công ty TNHH Phần mềm DTS Việt Nam (tên gọi tắt là DTS Việt Nam) được thành lập với mục đích giúp DTS Corporation tại Nhật Bản đáp ứng nhu cầu phát triển sản phẩm, dịch vụ và cung cấp cho khách hàng đơn giá hợp lý, có tính cạnh tranh. Hiện nay, sau 5 năm thành lập và phát triển, DTS Việt Nam đã có một chỗ đứng vững chắc trên thị trường phát triển dịch vụ offshore và cung cấp dịch vụ Business Process Outsourcing (viết tắt BPO) cho các công ty Nhật. Dịch vụ phát triển phần mềm chủ yếu thực hiện các đơn hàng từ Nhật. Ngoài phát triển các gói phần mềm, DTS Việt Nam còn thực hiện việc xây dựng hệ thống nhận order cho các cơ quan tiền tệ, hệ thống đặt hẹn cho các công ty vận tải lớn hay hệ thống cho ngành bán lẻ/ngành chế tạo, ngành phân phối và các công ty du lịch. Trong tương lai, chúng tôi dự định sẽ triển khai nhận các đơn hàng tại Việt Nam, các nước Đông Nam Á và các khu vực khác. Ngoài ra chúng tôi cũng thực hiện việc cử người đi phát triển onsite tại các công ty khách hàng. Về BPO, chúng tôi đang triển khai hai nghiệp vụ chính là thực hiện bản vẽ CAD xây dựng nhà kiểu Nhật, nghiệp vụ thực hiện bản vẽ CAD 3D linh kiện phụ tùng. Nhân viên của chúng tôi còn sử dụng thành thạo các công cụ như AutoCAD, photoshop, phần mềm Walk In Home được xây dựng bởi chính công ty chúng tôi và đáp ứng được các nghiệp vụ nhập dữ liệu.Ngoài CAD chúng tôi đang không ngừng mở rộng các dự án như nghiệp vụ nhập dữ liệu hay những nghiệp vụ khác của BPO.",100-499,Japan,http://dtsvn.com/,Thách thức công nghệ - Kiến tạo tương lai,"Phần Mềm, Gia công phần mềm","Quận Ba Đình, Hà Nội"
World Wave Culture Technology,https://assets.topdev.vn/images/2023/09/22/TopDev-315536578_110669381860041_7841296381097168170_n---World-Wave-Culture-Technology-Cong-ty-1695367671.png,non-existent,25-99,Vietnam,non-existent,Hoà hợp cùng phát triển,Software,"Quận 7, Hồ Chí Minh"
DUDAJI VIETNAM,https://assets.topdev.vn/images/2023/03/14/TopDev-Dudaji_Sticker_Single_1-%281%29----1678770229.png,"Dudaji is an IT development company that knows AI well. In Korea, we are developing services using AI such as VisionAI and natural language processing. Representatively, there is a copyright protection solution. It is headquartered in Korea and has development centers in Vietnam and Southeast Asia. In collaboration with the Vietnamese development team, we also launched a translation and communication app called Middo. (https://middo.app) Recently, we have collaborated with a large Korean game company to publish in the Asian market. The mainly used technology stack is as follows. Kubernetes, React.js(vue.js), PyTorch, Unity",10-24,South-Korea,https://middo.app/,"Learn more, share more",Software,"Quận 1, Hồ Chí Minh"
APOLLO SOLUTIONS,https://assets.topdev.vn/images/2023/01/12/TopDev-imgpshfullsizeanim7-1673516018.png,non-existent,25-99,Vietnam,non-existent,Together We Power,Phần Mềm,"Quận Phú Nhuận, Hồ Chí Minh"
Wizy,https://assets.topdev.vn/files/logos/5b7e56cf5b96e4c888cc93e0ebd93814.png,"Wizy enables Vietnamese developers to work in a new world setup under pandemic, fully remotely. Work anywhere you want with our international team across the globe to serve our clients in the United States, Europes and South Africa.",25-99,Vietnam,https://wizy.vn/,Work remotely with Wizy,Phần Mềm,"Thành phố Thủ Đức, Hồ Chí Minh - Thành phố Thủ Đức, Hồ Chí Minh"
HOIIO,https://assets.topdev.vn/images/2022/05/19/TopDev-hoiiologooutputcopy-SamPan-1652941726.jpg,"HOIIO is a software company and provide cloud communication and apps to businesses on a subscription and usage based business model. We are founded in Singapore in 2007 and have expanded regionally with offices in Malaysia, Hong Kong and Vietnam.  We are a firm believer in cloud technologies and its ability to empower a new era of agile businesses and have invested over 8 years of research and development into our awards winning agile cloud platform. Come join us as customers, partners and colleagues to empower agile businesses!",100-499,Singapore,https://www.b3networks.com/,A cloud communication platform built for the agile professionals,Phần Mềm,"Quận 3, Hồ Chí Minh - Quận Sơn Trà, Đà Nẵng"
Bananalink,https://assets.topdev.vn/images/2024/01/23/TopDev-gGUYMduevbfoYjwJ-1705990767.png,"Lĩnh vực hoạt động: Công ty Bananalink cung cấp các dịch vụ về IT Hoạt động dịch vụ song song giữa Hàn Quốc và Việt Nam Thực hiện các dự án product và outsource Thiết kế, tạo website, app... Dự án đang thực hiện: Tạo QR Menu, thực đơn trực tuyến đa ngôn ngữ (Việt Nam, Hàn quốc, Thái Lan, Anh)",10-24,"South-Korea, Vietnam",https://bananalink.io/,Bananalink -  Đồng hành cùng phát triển,"Software, Dịch vụ IT, Công nghệ thông tin","Quận Bình Thạnh, Hồ Chí Minh"
ROMULUS CONSULTANT COMPANY LIMITED,https://assets.topdev.vn/images/2023/04/21/TopDev-RML-LOGO---Thi-Hoa-Le-Do-1682047543.png,"LinkTree Corp, headquartered in Singapore, and Romulus Consultants, based in Vietnam, are consulting firms specializing in IT consulting and development services. We provide resource augmentation for IT companies, connecting local talent with global opportunities. We're currently looking for talented individuals skilled in various technologies: Solidity, D365, Solution Architect, Fullsatck (NodeJs, ReactJs), NodeJs, ReactJs/Native, .Net, Java, BA, BI, Tester, DE. Join our team to work on international projects and contribute to our global outreach and innovation efforts. Why you'll love working here: High NET salary commensurate with your ability Premium health insurance MacBook Pro + 24"" monitor provided. Working time: 9.00 Am to 6.00 Pm, Monday to Friday. Hybrid mode, no need to come to the office everyday. Day leave on 25th December & a half day of 31st December Company trip, Year-end party,Quarterly team building, Birthday, 8/3, 1/6... Annual health-check. Nice and friendly working environment: young clients/coleagues. Kind boss. Be our members for our developments.",25-99,Singapore,https://romulusconsult.com,"Dedicated, Creative","IT Consultant, Information Technology, Phần Mềm, Dịch vụ IT, Gia công phần mềm","Quận 1, Hồ Chí Minh - Quận Tây Hồ, Hà Nội - Quận Hải Châu, Đà Nẵng"
VUS - Anh Văn Hội Việt Mỹ,https://assets.topdev.vn/images/2023/04/19/TopDev-Logo-VUS---Huynh-Tan-Giau%2C-Recruitment-Team-Leader%2C-HO%2C-HCM-giauhuynh%40vus-etsc.edu.vn-1681890223.jpg,"Anh Văn Hội Việt Mỹ VUS là hệ thống giáo dục hàng đầu Việt Nam. Đến nay, VUS đã phát triển rộng khắp với 70+ cơ sở toàn quốc đặt tại các thành phố trọng điểm như: Hồ Chí Minh. Hà Nội, Đà Nẵng, Bình Dương, Đồng Nai, Vũng Tàu, Buôn Ma Thuột, Cần Thơ, Tây Ninh, Vĩnh Long,... VUS có hơn 1,300 nhân sự cùng hơn 2,300 nhân sự giáo viên và trợ giảng đang chung tay thực hiện tầm nhìn và sứ mệnh của tổ chức: Khơi mở tiềm năng cho các thế hệ học viên thông qua các chương trình đào tạo Anh ngữ và kỹ năng số chất lượng. Từ đó giúp học viên sẵn sàng hội nhập, kiến tạo tương lai cho bản thân và cộng đồng. Hệ thống cũng xây dựng văn hóa doanh nghiệp nhân văn và chuyên nghiệp với 04 giá trị cốt lõi: - Tự Tin Vững Vàng (Confident): Tin vào năng lực của bản thân cũng như vào giá trị và nền tảng của doanh nghiệp giúp các nhân sự vững bước vào tương lai với sự nhiệt huyết, sáng tạo. - Quan Tâm Sẻ Chia (Caring): Lan tỏa giá trị tốt đẹp của giáo dục với các chương trình san sẻ yêu thương, VUS xây dựng mối quan hệ tôn trọng, thấu hiểu để mang lại trải nghiệm tốt nhất cho khách hàng, đối tác, cộng đồng và cho bản thân. - Đồng Lòng Hợp Tác (Collaborative): Nuôi dưỡng, phát huy thế mạnh của sự đa dạng và tinh thần đồng đội để đạt được mục tiêu chung và lợi ích bền vững cho tất cả các bên. - Khát Khao Chiến Thắng (Aspirational): Không ngừng học hỏi, nâng cao trình độ chuyên môn, quyết tâm vượt qua thử thách, vững bước chinh phục tầm cao mới. Chế độ đãi ngộ hấp dẫn toàn diện Trở thành thành viên trong hệ thống, các nhân sự không chỉ được xây dựng lộ trình phát triển phù hợp với năng lực, mà còn được tham gia các chế độ phúc lợi cùng chương trình thưởng đa dạng. Đặc biệt, định kỳ hằng năm, các nhân sự VUS trên toàn quốc được tham gia chương trình Staff Outing để cùng thư giãn, “sạc lại năng lượng” và sẵn sàng để chinh phục những cột mốc mới. Đồng thời, chương trình còn hướng đến sự kết nối, thắt chặt tinh thần đồng đội dù ở phòng ban hay cơ sở, tỉnh thành nào. VUS - Đơn vị giáo dục duy nhất đạt giải “Nơi làm việc tốt nhất Châu Á 2021” - HR Asia Award 2021 Với những giá trị cốt lõi và chiến lược phát triển linh hoạt, VUS giữ vững thương hiệu và được đánh giá cao bởi người lao động. Trải qua hàng loạt khảo sát đánh giá mức độ gắn kết tổng thể (T.E.A.M) với chỉ số đo lường mức độ hài lòng của nhân viên (eNPS) đạt xuất sắc: eNPS = 49, VUS cho thấy tầm nhìn trong việc xây dựng đội ngũ và nghệ thuật quản trị nhân lực.",Over 1000,Vietnam,https://tuyendung.vus.edu.vn,Your English Your Future,"Giáo dục, Công nghệ thông tin","Quận 1, Hồ Chí Minh"
Pasona Tech Việt Nam,https://assets.topdev.vn/images/2022/07/27/TopDev-LogoofPasonaTech-NgnNguyn-1658914059.jpg,"Chào mừng đến với Pasona Tech Việt Nam. Pasona Tech Việt Nam là công ty 100% vốn Nhật Bản. Kể từ khi thành lập vào năm 2004, Pasona Tech Việt Nam đã không ngừng thách thức mỗi ngày để thực hiện ước mơ cùng với các khách hàng và đội ngũ nhân viên, cố gắng giải quyết các vấn đề của xã hội Việt Nam.  Là một công ty dịch vụ được tối đa hóa về:「Humanware＝ Sự kết nối giữa con người và công nghệ」, chúng tôi sẽ làm việc gần gũi hơn với nhiều「Người = Kỹ sư」hơn, cung cấp sự hỗ trợ không giới hạn và kết nối với「Công nghệ」để tạo ra một xã hội thịnh vượng, tạo ra sức mạnh tổng hợp mà chỉ Pasona Tech Việt Nam có thể thực hiện. Hiện nay, Pasona Tech Việt Nam hoạt động trên ba lĩnh vực kinh doanh cốt lõi là: Phát triển phần mềm Cung cấp dịch vụ kỹ thuật ứng dụng (dữ liệu hóa bản vẽ kỹ thuật, triển khai bản vễ thiết kế bằng CAD, CAE,...) Hỗ trợ các giải pháp toàn diện về nhân sự cho các khách hàng Nhật Bản trong và ngoài nước. Ngoài trụ sở chính được đặt tại thành phố Hồ Chí Minh, chúng tôi còn 3 văn phòng chi nhánh và văn phòng vệ tinh được đặt tại trung tâm của TP. Hồ Chí Minh, Hà Nội và Đà Nẵng. Trong tương lai, chúng tôi luôn hướng đến mục tiêu phát triển cùng với con người và xã hội Việt Nam nhưng không quên thử thách những điều mới mẻ.  Để mở rộng hoạt động kinh doanh, chúng tôi cần bạn tham gia vào đội ngũ nhân viên năng động của chúng tôi.",100-499,Japan,https://www.pasonatech.vn/,No Where - Now Here,Software,"Quận Tân Bình, Hồ Chí Minh"
SYNERGIX,https://assets.topdev.vn/files/logos/6ffc31d30ad72644036634ef1150e5a2.png,"Synergix Technologies is Singapore’s leader in enterprise solution, Cloud ERP solutions, and software service. We are proud to be one of the largest local and principal system developer for Small and Medium-sized companies. Founded in 1990 by Mr Koh Yang Uei, Synergix Technologies grew from a small accounting venture to the development of a fully integrated, web-based ERP System which is the most integrated Cloud-based ERP software offered in Singapore.",25-99,Singapore,https://www.synergixtech.com﻿,SYNERGIX TECHNOLOGIES PTE LTD.,Phần Mềm,"Quận Thanh Xuân, Hà Nội - Quận Cầu Giấy, Hà Nội"
GEM MULTIMEDIA SDN. BHD,https://assets.topdev.vn/images/2024/01/30/TopDev-Logo_Gem---hrr-hrr-1706581701.png,"Công Ty Gem Multimedia SDN. BHD là công ty chuyên cung cấp dịch vụ tư vấn chiến lược Digital Marketing, tư vấn định hướng Marketing và định hướng Social Marketing nhằm giúp Doanh nghiệp tối ưu những chiến lược mà Doanh nghiệp đang chạy hoặc chuẩn bị chạy (SEO, Google Ads, Social Ads,…). Chúng tôi luôn phân tích trước khi đưa ra các kế hoạch và chiến lược phù hợp dựa trên định hướng, tài nguyên hiện hữu và nhân lực của từng khách hàng.",25-99,Malaysia,https://gemmedia.info/,Gem Media - Bàn đạp để Doanh nghiệp thành công.,"Quảng Cáo Truyền Thông, Sale & Marketing Services",Oversea - Oversea
CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ TRỰC TUYẾN GTEL,https://assets.topdev.vn/images/2024/04/09/TopDev-Logo-Slide-%281%29---Nguyen-Thi-Tra-My-_-OTS-1712645657.png,"Tại Công ty GTEL OTS, bạn sẽ có cơ hội tham gia vào các dự án công nghệ và phần mềm có tầm ảnh hưởng lớn tới sự phát triển của Việt Nam. Chúng tôi đang xây dựng những giải pháp công nghệ tiên phong, góp phần hiện đại hóa xã hội Việt Nam. Đặc biệt ứng dụng công nghệ phục vụ Quốc phòng - An ninh. Làm việc tại một môi trường năng động, sáng tạo, Bạn sẽ được trải nghiệm không khí làm việc nhiệt huyết, chia sẻ và có chung khát vọng cùng đội ngũ nhân viên. Đây là cơ hội phát triển bản thân vượt bậc và nâng cao năng lực chuyên môn của bạn. Cơ hội nghề nghiệp tại Công ty GTEL OTS: -Tham gia vào các dự án công nghệ và phần mềm có tầm ảnh hưởng lớn: -Công ty đang phát triển những giải pháp công nghệ tiên phong, góp phần công cuộc chuyển đổi số, hiện đại hóa các lĩnh vực then chốt của Việt Nam, đặc biệt là lĩnh vực An ninh Quốc phòng. - Các dự án bao gồm ứng dụng công nghệ AI, IoT, Big data, GIS để tối ưu hóa các hoạt động giám sát quản lý an ninh trật tự, giao thông, an toàn cháy nổ, an toàn thông tin trên không gian mạng, cung cấp dịch vụ công trực tuyến, và xây dựng hạ tầng số thông minh. -Là một phần của những dự án này, bạn sẽ có cơ hội được tham gia vào quá trình chuyển đổi số toàn diện, tạo ra những giải pháp có tác động lớn đến cuộc sống của người dân và sự phát triển của đất nước. Môi trường làm việc năng động, sáng tạo: -Công ty đang xây dựng một văn hóa doanh nghiệp cởi mở, khuyến khích đổi mới sáng tạo và làm việc nhóm. -Nhân viên được khuyến khích chia sẻ ý tưởng, đóng góp sáng kiến, và cùng nhau giải quyết thách thức. -Định kỳ, công ty tổ chức các hoạt động team building, giao lưu, và phát triển kỹ năng mềm nhằm thúc đẩy tinh thần làm việc đồng đội và gắn kết. Cơ hội phát triển bản thân và nâng cao năng lực: -Công ty chú trọng đầu tư vào sự phát triển của nhân viên thông qua các chương trình đào tạo, mentoring, và tạo điều kiện để bạn thể hiện năng lực. -Bạn sẽ được tiếp xúc với các công nghệ mới nhất, quy trình làm việc hiện đại, và có cơ hội học hỏi từ các chuyên gia hàng đầu trong ngành. Ứng tuyển ngay để trở thành một phần của đội ngũ nhân tài đang thực hiện sứ mệnh phục vụ sự phát triển của Việt Nam!",25-99,Vietnam,ots.vn,GTEL OTS,"IT Consultant, Software, Information Technology, Phần Mềm, Security, Triển Khai Phần Mềm, Công nghệ thông tin, Tư vấn giám sát & Quản lý dự án, Artificial Intelligence","Quận 1, Hồ Chí Minh - Quận Thanh Xuân, Hà Nội"
CÔNG TY TNHH POSCO DX VIỆT NAM,https://assets.topdev.vn/images/2023/06/26/TopDev-79d72697aa934440feefea356cc83d40-1687754035.png,"POSCO DX Vietnam is a Korean IT firm exclusively providing IT operation solutions for steel factories of POSCO in Vietnam. POSCO DX Viet Nam is creating a smarter world by applying the convergence technology of IT Knowledge and Industry Knowledge to industrial sites and other diverse areas such as energy, environment, etc. POSCO GROUP Management Philosophy POSCO Group pursues 'Corporate Citizenship: Building a Better Future Together'. POSCO Group will become a valued member of society, grow alongside various stakeholders, such as employees, shareholders, customers, suppliers, vendors and local communities, and pursue the values of consideration, coexistence and symbiosis. VISION To deliver the meaning of With, which embodies the meaning of a corporate citizen growing together with society, W expresses the continuation of empathetic harmony by visualizing the image of two individuals holding hands. The warm orange color possesses the positive energy of growing together. POSCO Group made 'With POSCO' its vision, and it is building a better future with 'Business With POSCO', by creating values with business partners, 'Society With POSCO', by shaping a better tomorrow with the community, and 'People With POSCO', by building a culture of trust and creativity. Code Of Conduct POSCO Group takes great efforts to realize the values it deems important, such as putting substance first, emphasizing execution, and pursuing benefits. It achieves value management, win-win management and innovative management by putting substance before form, placing more emphasis on execution than on reporting, and pursuing substance rather than justification. Core Value POSCO Group Core Values are 'Safety,' 'Win-Win,' 'Ethics' and 'Creativity.' 'Safety' means that utmost priority is given to respect for people, and position holders should take the lead in encouraging routine safe behavior with a focus on actions. 'Win-Win' means to practice having consideration for and sharing with others, pursue mutual prosperity, and continuously grow by creating social values. 'Ethics' means to seek ethical behavior based on the mutual trust between members of society and abide by the principle of reward and punishment. 'Creativity' means to take the lead in solving problems by cooperating openly with an open mind.",25-99,South-Korea,http://poscodxvn.com/,I Create Tomorrow,Phần Mềm,"Quận 7, Hồ Chí Minh - Huyện Tân Thành, Bà Rịa - Vũng Tàu - Huyện Nhơn Trạch, Đồng Nai"
Chubb Life Vietnam,https://assets.topdev.vn/images/2022/10/24/TopDev-CHUBBLogoDarkBlueRGB-1666581285.png,"Chubb Life Vietnam Chubb Life is the international life insurance division of Chubb. In Asia, Chubb Life operates in Hong Kong SAR, Indonesia, Korea, Myanmar, Taiwan, Thailand and Vietnam, and participates in a joint-venture in China. Chubb Life has been in Vietnam since 2005, and launched its Fund Management Company (Chubb Life Fund Management Company Limited) in 2013. To meet the financial protection and security needs of its broad range of customers, Chubb Life in Vietnam (Chubb Life Insurance Vietnam Company Limited) offers a range of life protection, health, savings, and investment-linked insurance solutions through its agents and its wide network of offices. The company pioneered the introduction of the Universal Life plan in the Vietnamese market in March 2006. Since then, it has developed a full range of Universal Life products. This diverse range of Universal Life products enables individuals and groups up to the age of 80 years to select plans to suit their financial needs. Chubb Life tại Việt Nam Chubb Life là khối kinh doanh Bảo hiểm Nhân thọ (BHNT) toàn cầu của Tập đoàn Chubb. Tại Châu Á, Chubb Life đã thành lập các đơn vị thành viên với 100% vốn sở hữu tại Hong Kong SAR, Indonesia, Hàn Quốc, Myanmar, Đài Loan, Thái Lan, Việt Nam và một công ty liên doanh BHNT tại Trung Quốc. Chubb Life Việt Nam bắt đầu hoạt động kinh doanh tại Việt Nam vào năm 2005 và thành lập Công ty TNHH Một thành viên Quản lý Quỹ Chubb Life (Chubb Life FMC) vào năm 2013. Để đáp ứng nhu cầu bảo vệ và an toàn tài chính cho đa dạng các nhóm khách hàng tại thị trường Việt Nam, Chubb Life Việt Nam cung cấp một danh mục các sản phẩm và dịch vụ về bảo hiểm nhân thọ, sức khỏe và đầu tư toàn diện thông qua mạng lưới văn phòng rộng khắp trên toàn quốc. Để biết thêm thông tin về Chubb Life Việt Nam, xin vui lòng truy cập: https://life.chubb.com/vn",500-999,Vietnam,https://life.chubb.com/vn,Trở thành Công ty Bảo Hiểm Nhân Thọ hàng đầu với chuẩn mực đạo đức và tính chuyên nghiệp cao nhất,"Finance, Bảo Hiểm","Quận 1, Hồ Chí Minh - Quận Ninh Kiều, Cần Thơ - Quận Hải Châu, Đà Nẵng"
Archer Game Studio,https://assets.topdev.vn/images/2023/09/19/TopDev-Logo---Thi-Thien-Thuong-Le-1695092566.jpg,"Archer Game Studio là công ty sản xuất mobile Mid-core game cho thị trường Global, được thành lập từ tháng 07 năm 2022. Với đội ngũ gồm 20 thành viên rất đam mê, nhiệt huyết, có chuyên môn cao cũng như quyết tâm sản xuất ra các dòng game chất lượng. Tầm nhìn của Công ty trong 5 năm tới sẽ trở thành công ty top đầu về các sản phẩ game chất lượng vươn ra thế giới, có giá trị chất lượng cao, đem lại giá trị giải trí hữu ích cho người dùng. Studio được thành lập trên nền tảng của các founders đã thành công với 2 lĩnh vực phát hành game cho thị trường nội địa và studio phát triển game hyper-casual, casual cho thị trường Global. Tầm nhìn: Trở thành Công ty game có công nghệ vươn tầm thế giới Sứ mệnh: Xây dựng các sản phẩm công nghệ, phục vụ hàng triệu người trên toàn thế giới giải trí và làm việc hiệu quả. Con người: Tinh hoa, Gắn kết và luôn hướng mục tiêu Văn hóa: Kỷ luật và Học tập. Archer luôn tạo môi trường tốt nhất cho nhân viên phát triển",25-99,Vietnam,http://test.kyvuong.mobi/archer/,,Giải trí/ Game,"Quận Thanh Xuân, Hà Nội"
Olabs,https://assets.topdev.vn/images/2023/05/26/TopDev-Olabs_01-3---OLabs-Technology-1685086141.png,"Giới thiệu về Olabs : OLabs là công ty thành viên trực thuộc tập đoàn OpenLive. OLabs là sự sáp nhập 100% của Công ty Công Nghệ Genex. Bao gồm nguồn lực về nhân sự, khách hàng, sản phẩm sẽ trực thuộc quản lý của OLabs. Tầm nhìn OLabs : Trở thành Top3 Công ty Công Nghệ về tư vấn, phát triển, triển khai hệ sinh thái, platform chuyển đổi số cho Doanh Nghiệp ứng dụng những công nghệ lõi như Web3, AI, Bigdata,… trong năm 2025 Sứ mệnh : Cung cấp giải pháp phần mềm cho hệ sinh thái OpenLive Group nhằm đưa OpenLive Group trở thành 1 tập đoàn có những ứng dụng tiên tiến và tiêu biểu nhằm phục vụ mục tiêu hơn 500.000 Doanh nghiệp vừa và nhỏ tại Việt Nam cũng như Đông Nam Á. Hướng tới việc làm tăng giá trị Thương Hiệu, gia tăng khách hàng mới, tăng doanh thu và lợi nhuận cho Doanh Nghiệp. Sản phẩm công nghệ : Chúng tôi hiện nay có 3 sản phẩm mục tiêu cho tập đoàn OpenLive: NFT Marketplace: Trung tâm thương mại tài nguyên số ứng dụng công nghệ NFT, Blockchain nhằm tạo ra 1 nơi giao thương mua bán tất cả các Sản phẩm số cho Doanh Nghiệp như e-voucher, e-membership, e-ticket, bộ sưu tập NFT,… Loyalty Branding Platform: Platform tiên phong tại Việt Nam ứng dụng công nghệ lõi Blockchain, NFT, Web3 vào giải pháp Loyalty truyền thống. Giải quyết những nhược điểm hiện tại của hệ thống Loyalty truyến thống và tạo ra môi trường trao đổi giá trị chéo giữa các Doanh nghiệp trong hệ sinh thái thông qua giải pháp Loyalty Point. Wifi Branding Platform: là nền tảng hiển thị quảng cáo khi người dùng truy cập vào mạng wifi, biến Wifi thông thường trở thành 1 kênh quảng cáo digital, tương tác khách hàng thời gian thực, tăng nhận diện thương hiệu, giúp trải nghiệm khách hàng thông minh hơn. Gia công các dự án Blockchain: blockchain network (layer 1), sàn crypto tập trung và phi tập trung (CEX & DEX), Defi dApp, NFT dApp, v.v",10-24,Vietnam,https://olabs.net/,OLabs - Digital Era,Phần Mềm,"Quận Bình Thạnh, Hồ Chí Minh"
Unifiedpost,https://assets.topdev.vn/images/2024/06/06/TopDev-Anh-chup-man-hinh-2024-06-06-142755-1717659387.png,"Unifiedpost is a leading cloud-based platform for SME business services built on Documents, Identity, Payments and associated finance services. Unifiedpost operates and develops a comprehensive cloud-based platform for administrative and financial services that allows real-time and seamless connections between Unifiedpost’s customers, their suppliers, their customers, and other parties along the financial value chain. With its one-stop-shop solutions, Unifiedpost’s mission is to make administrative and financial processes simple and smart for its customers. Since its founding in 2001, Unifiedpost has grown significantly, expanding to offices in 30 countries, with more than 400 million documents processed in 2020, reaching over 980,000 SMEs and more than 2,500 Corporates across its platform today.",100-499,Belgium,https://www.unifiedpostgroup.com/,We believe that administrative and financial processes should be simple and smart.,Product,"Quận Bình Thạnh, Hồ Chí Minh"
The Representative Office of Zen Living Ltd. in Ho Chi Minh City,https://assets.topdev.vn/images/2024/06/06/TopDev-logo-Zen---Trang-Nguyen-1717644947.jpg,"Zen Living is one of the largest manufacturers and suppliers of cabinets in Calgary, Canada, supplying homeowners, developers and builders with superior quality, service and craftsmanship for over a decade. Being both the manufacturer and supplier means that we do not deal with any middlemen and their associated markups. We pride ourselves on being able to provide our customers with beautiful high end designs, in a wide selection of styles, at competitive pricing. With hundreds of colours, unique materials and numerous accessory options to customize your space; we are sure you will find the look that fits your design and budget. We believe exceptional design transforms people’s lives. We see home as more than a place. It is a safe haven, a space for connection and fulfillment. Everything we do at Zen Living is rooted in our commitment to offer quality custom solutions that help people become better versions of themselves, with more time and space to center on what matters most. We know crafting your home is a form of self-expression that brings happiness and comfort, and we are here to support you all the way.",100-499,Canada,https://www.zen-living.ca/,,,"Quận 11, Hồ Chí Minh"
CÔNG TY CỔ PHẦN CÔNG NGHỆ AMZ,https://assets.topdev.vn/images/2024/05/27/TopDev-af287d1060a26098ff7f542779a50f6a-1716798781.jpg,"Tầm nhìn: AMZ mong muốn trở thành một công ty giàu mạnh; đổi mới sáng tạo; linh hoạt; cơ cấu tinh gọn; góp sức xây dựng đất nước; mang lại cuộc sống thịnh vượng cho mọi thành viên. Sứ mệnh: Giúp khách hàng nhận thức được năng lực tiềm ẩn và nâng họ lên một tầm cao mới dựa trên sáng tạo. Chúng tôi coi trọng văn hóa đổi mới sáng tạo, gìn giữ và phát triển nhân tài  Chúng tôi cam kết cung cấp các giải pháp đột phá, dễ sử dụng kèm theo dịch vụ hỗ trợ đầy đủ.",25-99,Vietnam,http://amzet.com.vn/index.html#about,AMZ - Giá trị tạo nên sự khác biệt,Phần Mềm,"Quận Hoàn Kiếm, Hà Nội"
Ngân hàng TMCP Sài Gòn Thương tín (Sacombank),https://assets.topdev.vn/images/2022/07/25/TopDev-Screenshot2022-07-25141645-1658733437.png,"Sacombank được thành lập vào ngày 21/12/1991, là một trong những Ngân hàng Thương mại Cổ phần đầu tiên được thành lập tại TP.HCM. Qua 32 năm hình thành và phát triển, Sacombank hiện là một trong những ngân hàng hàng đầu Việt Nam có nền tảng phát triển hiệu quả, an toàn và bền vững - Tốc độ tăng trưởng ổn định về doanh thu và thị phần; - Đội ngũ cán bộ nhân viên trẻ trung - năng động; - Hơn 15 triệu khách hàng gắn bó thuỷ chung; - Mạng lưới hoạt động rộng lớn gồm 566 điểm giao dịch tại 52 tỉnh thành Việt Nam cùng hai nước Lào và Campuchia; - Nền tảng công nghệ hiện đại, tiên phong và hệ thống sản phẩm dịch vụ ưu việt dành cho cá nhân và doanh nghiệp; - Hệ giá trị cốt lõi và văn hoá doanh nghiệp đặc sắc.",10.000-19.999,Vietnam,https://sacombankcareer.com/,Đồng hành cùng phát triển,"Product, Fintech, Ngân Hàng, Finance","Quận 3, Hồ Chí Minh"
